"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 20, 2021","127.6516","122.0716","129.8689","120.6100","953.37K","4.57%"
"Oct 19, 2021","122.0716","122.4613","123.4478","120.1833","538.92K","-0.32%"
"Oct 18, 2021","122.4601","124.6017","125.2977","119.1733","946.40K","-1.63%"
"Oct 17, 2021","124.4852","125.0108","129.5108","122.0566","923.92K","-0.42%"
"Oct 16, 2021","125.0108","125.7112","129.6775","122.8204","1.02M","-0.56%"
"Oct 15, 2021","125.7112","136.3758","145.2151","124.7160","3.40M","-7.84%"
"Oct 14, 2021","136.4024","121.7353","143.9726","120.4470","3.28M","11.99%"
"Oct 13, 2021","121.8016","121.9729","124.7787","117.9773","1.23M","-0.12%"
"Oct 12, 2021","121.9485","116.5199","126.4048","113.8001","2.92M","4.66%"
"Oct 11, 2021","116.5171","116.1112","121.7675","112.0797","1.46M","0.35%"
"Oct 10, 2021","116.1112","126.5015","126.5427","115.1431","1.33M","-8.21%"
"Oct 09, 2021","126.5013","126.1487","132.0791","123.6837","1.47M","0.30%"
"Oct 08, 2021","126.1213","124.2971","138.6779","120.2455","3.54M","1.47%"
"Oct 07, 2021","124.2971","126.2243","131.1361","120.3669","3.35M","-1.53%"
"Oct 06, 2021","126.2243","128.5987","140.8138","119.8746","6.53M","-1.85%"
"Oct 05, 2021","128.5987","134.5914","145.5786","127.2643","5.11M","-4.23%"
"Oct 04, 2021","134.2832","137.5290","154.8677","131.8171","8.65M","-2.29%"
"Oct 03, 2021","137.4307","107.9366","138.6285","103.8917","5.93M","27.40%"
"Oct 02, 2021","107.8703","110.3408","119.7414","106.0644","7.06M","-2.22%"
"Oct 01, 2021","110.3161","74.6321","116.1910","74.1707","10.22M","47.80%"
"Sep 30, 2021","74.6400","69.3200","78.8800","68.8000","3.12M","7.63%"
"Sep 29, 2021","69.3500","69.0600","75.0600","67.7900","2.86M","0.39%"
"Sep 28, 2021","69.0800","63.8300","72.7500","62.9700","2.31M","8.24%"
"Sep 27, 2021","63.8200","63.5700","67.1100","62.7600","1.01M","0.11%"
"Sep 26, 2021","63.7500","65.2300","65.4100","58.2600","1.19M","-2.33%"
"Sep 25, 2021","65.2700","68.2800","69.0500","64.4500","958.28K","-4.27%"
"Sep 24, 2021","68.1800","67.3300","70.8400","63.7600","3.36M","1.29%"
"Sep 23, 2021","67.3100","61.5500","69.1600","61.0900","2.42M","9.30%"
"Sep 22, 2021","61.5800","50.6300","63.9400","49.4900","3.91M","21.92%"
"Sep 21, 2021","50.5100","55.1000","56.8400","48.1800","1.95M","-8.10%"
"Sep 20, 2021","54.9600","63.7200","63.7900","52.4100","2.06M","-13.72%"
"Sep 19, 2021","63.7000","66.1400","66.4700","63.0400","654.14K","-3.56%"
"Sep 18, 2021","66.0500","65.8900","67.7100","64.7700","665.36K","0.55%"
"Sep 17, 2021","65.6900","67.2500","68.0600","64.5100","867.57K","-2.29%"
"Sep 16, 2021","67.2300","68.6500","70.8900","65.6100","1.26M","-2.05%"
"Sep 15, 2021","68.6400","66.7400","69.7000","65.5000","919.95K","3.00%"
"Sep 14, 2021","66.6400","64.8700","67.4100","64.1700","1.09M","2.54%"
"Sep 13, 2021","64.9900","69.8100","71.4300","61.3600","1.59M","-7.12%"
"Sep 12, 2021","69.9700","68.8400","70.8300","66.1400","1.19M","1.54%"
"Sep 11, 2021","68.9100","65.5300","71.9400","64.8500","1.37M","5.37%"
"Sep 10, 2021","65.4000","69.1200","71.1000","62.9000","1.74M","-5.19%"
"Sep 09, 2021","68.9800","68.0000","72.2100","66.8100","2.33M","1.59%"
"Sep 08, 2021","67.9000","64.4400","70.8600","60.2700","4.05M","5.98%"
"Sep 07, 2021","64.0700","79.2300","80.3200","56.6700","4.70M","-18.98%"
"Sep 06, 2021","79.0800","82.2100","85.0400","74.3100","2.51M","-3.88%"
"Sep 05, 2021","82.2700","82.3900","88.6100","79.9700","3.93M","-0.19%"
"Sep 04, 2021","82.4300","73.9600","94.3100","72.4300","7.22M","11.44%"
"Sep 03, 2021","73.9700","72.7300","76.3500","71.5000","1.66M","1.72%"
"Sep 02, 2021","72.7200","73.8600","74.6600","71.6600","1.18M","-1.60%"
"Sep 01, 2021","73.9000","72.1300","74.5900","69.5600","1.68M","2.41%"
"Aug 31, 2021","72.1600","72.8100","75.7800","71.3200","1.92M","-0.88%"
"Aug 30, 2021","72.8000","78.3200","78.3200","72.4800","1.92M","-7.05%"
"Aug 29, 2021","78.3200","74.8200","78.9600","71.5500","2.12M","4.75%"
"Aug 28, 2021","74.7700","73.6600","79.6100","72.4400","3.18M","1.62%"
"Aug 27, 2021","73.5800","69.5800","73.5800","68.1700","2.68M","5.79%"
"Aug 26, 2021","69.5500","72.5129","73.8177","67.3000","2.65M","-4.15%"
"Aug 25, 2021","72.5646","69.9018","75.0962","68.5760","4.26M","3.72%"
"Aug 24, 2021","69.9632","77.3601","77.5097","67.2503","3.51M","-9.57%"
"Aug 23, 2021","77.3631","77.1200","78.7330","75.2789","2.21M","0.31%"
"Aug 22, 2021","77.1244","76.8847","79.4832","73.0726","2.46M","0.39%"
"Aug 21, 2021","76.8243","73.7001","83.3909","73.7001","5.47M","4.32%"
"Aug 20, 2021","73.6396","71.8944","74.1903","71.4820","2.88M","2.35%"
"Aug 19, 2021","71.9481","69.3867","73.0300","67.3059","3.66M","3.74%"
"Aug 18, 2021","69.3545","72.5028","74.7390","65.6808","6.73M","-3.50%"
"Aug 17, 2021","71.8706","66.3289","81.9687","65.2590","11.95M","8.38%"
"Aug 16, 2021","66.3136","67.6434","70.7480","65.8428","3.48M","-2.30%"
"Aug 15, 2021","67.8758","67.7366","67.9618","63.3750","2.92M","0.29%"
"Aug 14, 2021","67.6815","70.5301","70.6098","65.1234","4.11M","-4.02%"
"Aug 13, 2021","70.5130","65.9463","73.7225","65.9463","5.88M","6.93%"
"Aug 12, 2021","65.9429","66.2608","73.8275","63.3714","12.27M","-0.86%"
"Aug 11, 2021","66.5134","63.8774","77.1493","63.4412","18.36M","3.96%"
"Aug 10, 2021","63.9779","43.6975","64.6025","43.2908","16.06M","46.89%"
"Aug 09, 2021","43.5562","42.0745","45.0500","40.6894","5.28M","3.11%"
"Aug 08, 2021","42.2440","41.2537","47.2586","40.1052","7.77M","2.30%"
"Aug 07, 2021","41.2951","42.6244","43.5878","40.2280","4.56M","-2.98%"
"Aug 06, 2021","42.5619","42.5800","43.9998","41.4628","4.14M","0.02%"
"Aug 05, 2021","42.5522","43.6978","44.9632","41.0612","5.90M","-2.80%"
"Aug 04, 2021","43.7793","38.4052","45.9396","37.8238","12.65M","13.93%"
"Aug 03, 2021","38.4281","40.1981","40.2370","37.6612","4.37M","-4.57%"
"Aug 02, 2021","40.2683","38.0784","42.7667","37.9800","8.77M","6.66%"
"Aug 01, 2021","37.7532","42.7204","42.8208","37.4256","6.64M","-11.15%"
"Jul 31, 2021","42.4886","43.3109","45.6544","41.8692","8.28M","-1.81%"
"Jul 30, 2021","43.2713","44.1759","45.2711","41.4086","10.03M","-2.39%"
"Jul 29, 2021","44.3301","45.5847","46.8448","41.6336","12.43M","-2.84%"
"Jul 28, 2021","45.6270","46.8069","50.4348","44.5233","15.68M","-3.07%"
"Jul 27, 2021","47.0722","40.8718","53.3735","36.2195","36.74M","15.08%"
"Jul 26, 2021","40.9036","43.5624","45.3610","35.0425","20.83M","-6.69%"
"Jul 25, 2021","43.8368","42.9522","43.9611","38.8051","18.21M","-1.86%"
"Jul 24, 2021","44.6661","42.3589","47.5652","38.4593","48.37M","4.85%"
"Jul 23, 2021","42.5999","24.9587","48.4640","24.2970","47.00M","71.77%"
"Jul 22, 2021","24.8001","22.3979","25.8978","22.0230","27.74M","10.96%"
"Jul 21, 2021","22.3500","15.0100","22.8000","14.7200","24.73M","48.90%"
"Jul 20, 2021","15.0100","17.0600","17.2500","14.1400","13.96M","-12.02%"
"Jul 19, 2021","17.0600","18.6300","19.0100","15.6100","14.72M","-8.43%"
"Jul 18, 2021","18.6300","18.5200","20.9000","17.3700","15.36M","0.59%"
"Jul 17, 2021","18.5200","21.0000","21.2100","17.3700","18.98M","-11.81%"
"Jul 16, 2021","21.0000","24.0200","27.3900","20.4500","25.43M","-12.57%"
"Jul 15, 2021","24.0200","23.3200","29.2000","22.6700","28.08M","3.00%"
"Jul 14, 2021","23.3200","20.8100","24.3500","19.5000","22.01M","12.06%"
"Jul 13, 2021","20.8100","17.4800","22.5600","17.3800","26.78M","19.05%"
"Jul 12, 2021","17.4800","18.9400","19.2400","16.8500","11.92M","-7.71%"
"Jul 11, 2021","18.9400","17.6600","19.1600","16.0000","17.44M","7.25%"
"Jul 10, 2021","17.6600","16.5400","19.6000","16.2700","28.41M","6.77%"
"Jul 09, 2021","16.5400","12.0800","16.7500","11.2500","30.11M","36.92%"
"Jul 08, 2021","12.0800","13.5800","15.8000","11.5700","26.10M","-11.05%"
"Jul 07, 2021","13.5800","10.8900","16.7000","10.4300","31.56M","24.70%"
"Jul 06, 2021","10.8900","8.0300","11.9000","8.0000","19.69M","35.62%"
"Jul 05, 2021","8.0300","8.7660","8.9310","7.7350","6.35M","-8.40%"
"Jul 04, 2021","8.7660","7.7300","9.8600","7.5540","13.89M","13.40%"
"Jul 03, 2021","7.7300","6.0680","7.9850","5.7810","7.48M","27.39%"
"Jul 02, 2021","6.0680","5.7440","6.3910","5.7400","5.95M","5.64%"
"Jul 01, 2021","5.7440","5.6710","5.9900","5.1770","3.29M","1.29%"
"Jun 30, 2021","5.6710","4.6160","5.8800","4.4430","7.28M","22.86%"
"Jun 29, 2021","4.6160","3.9710","4.8400","3.9620","2.30M","16.24%"
"Jun 28, 2021","3.9710","3.7240","4.0570","3.6610","1.21M","6.63%"
"Jun 27, 2021","3.7240","3.5940","3.7400","3.4700","1.15M","3.62%"
"Jun 26, 2021","3.5940","3.4260","3.6170","3.2520","1.28M","4.90%"
"Jun 25, 2021","3.4260","3.8100","3.9390","3.3840","1.39M","-10.08%"
"Jun 24, 2021","3.8100","3.7080","3.8540","3.4850","1.62M","2.75%"
"Jun 23, 2021","3.7080","3.1830","3.8000","3.0850","2.65M","16.49%"
"Jun 22, 2021","3.1830","3.2000","3.6890","2.8580","3.85M","-0.53%"
"Jun 21, 2021","3.2000","4.2040","4.2230","3.1900","2.27M","-23.88%"
"Jun 20, 2021","4.2040","4.2090","4.2780","3.8110","1.72M","-0.12%"
"Jun 19, 2021","4.2090","4.3830","4.5350","4.1920","1.04M","-3.97%"
"Jun 18, 2021","4.3830","4.7110","5.0000","4.2120","3.81M","-6.96%"
"Jun 17, 2021","4.7110","4.1940","4.7500","4.1640","1.75M","12.33%"
"Jun 16, 2021","4.1940","4.4990","4.8810","4.1510","3.10M","-6.78%"
"Jun 15, 2021","4.4990","4.1800","4.5230","4.0410","1.96M","7.63%"
"Jun 14, 2021","4.1800","3.9860","4.2690","3.8500","2.24M","4.87%"
"Jun 13, 2021","3.9860","3.7880","4.0460","3.6440","1.37M","5.23%"
"Jun 12, 2021","3.7880","4.3180","4.3180","3.7340","2.66M","-12.27%"
"Jun 11, 2021","4.3180","3.9490","5.1380","3.9170","10.92M","9.34%"
"Jun 10, 2021","3.9490","4.0130","4.1980","3.7670","2.20M","-1.59%"
"Jun 09, 2021","4.0130","3.8620","4.1020","3.5460","1.74M","3.91%"
"Jun 08, 2021","3.8620","4.0350","4.1340","3.4120","1.92M","-4.29%"
"Jun 07, 2021","4.0350","4.3690","4.5270","3.9980","1.32M","-7.64%"
"Jun 06, 2021","4.3690","4.1990","4.4140","4.1580","628.19K","4.05%"
"Jun 05, 2021","4.1990","4.3520","4.5000","4.0720","961.07K","-3.52%"
"Jun 04, 2021","4.3520","4.7910","4.8680","4.1380","1.65M","-9.16%"
"Jun 03, 2021","4.7910","4.7060","4.8250","4.5770","1.26M","1.81%"
"Jun 02, 2021","4.7060","4.6940","4.7640","4.4810","1.54M","0.26%"
"Jun 01, 2021","4.6940","4.9430","4.9650","4.5500","2.92M","-5.04%"
"May 31, 2021","4.9430","4.5340","5.2990","4.4840","7.52M","9.02%"
"May 30, 2021","4.5340","4.7470","4.8910","4.1300","6.82M","-4.49%"
"May 29, 2021","4.7470","4.1930","6.0480","4.1860","11.18M","13.21%"
"May 28, 2021","4.1930","4.8120","5.0300","4.0220","2.68M","-12.86%"
"May 27, 2021","4.8120","4.9150","4.9200","4.3000","2.32M","-2.10%"
"May 26, 2021","4.9150","4.1440","4.9150","3.9980","3.14M","18.61%"
"May 25, 2021","4.1440","4.1870","4.3790","3.7070","2.17M","-1.03%"
"May 24, 2021","4.1870","3.3450","4.3000","3.3450","3.68M","25.17%"
"May 23, 2021","3.3450","3.9250","4.0610","2.7300","3.43M","-14.78%"
"May 22, 2021","3.9250","4.3410","4.3690","3.7000","1.75M","-9.58%"
"May 21, 2021","4.3410","4.7050","5.3550","3.6610","4.18M","-7.74%"
"May 20, 2021","4.7050","3.9600","4.9430","3.5380","2.52M","18.81%"
"May 19, 2021","3.9600","6.6040","6.7200","1.8080","4.44M","-40.04%"
"May 18, 2021","6.6040","6.5270","7.1440","6.4000","1.89M","1.18%"
"May 17, 2021","6.5270","6.4000","6.9800","5.8640","2.24M","1.98%"
"May 16, 2021","6.4000","6.5750","7.3320","6.0650","1.70M","-2.66%"
"May 15, 2021","6.5750","7.0720","7.1800","6.3680","1.28M","-7.03%"
"May 14, 2021","7.0720","6.9740","7.4970","6.8600","1.22M","1.41%"
"May 13, 2021","6.9740","6.7960","7.7800","6.2100","3.36M","2.62%"
"May 12, 2021","6.7960","8.0900","9.1990","6.6100","4.11M","-16.00%"
